Data;Volume Útil Armazenado (%);Vazão Jusante (m³/s);Vazão Natural (m³/s)
24/06/2001;31,06726;2,52;14,518
25/06/2001;30,8807;2,52;11,691
26/06/2001;30,62702;2,52;10,254
27/06/2001;30,70028;2,52;36,232
28/06/2001;30,68444;2,52;29,063
29/06/2001;30,55645;2,4;18,28
30/06/2001;30,40638;2,32;17,526
01/07/2001;30,22662;2,32;14,642
02/07/2001;30,09105;2,07;17,623
03/07/2001;29,88311;1,98;12,923
04/07/2001;29,67909;1,99;13,461
05/07/2001;29,47222;1,94;12,844
06/07/2001;29,24933;1,89;11,067
07/07/2001;29,07226;1,77;15,183
08/07/2001;28,93829;1,73;17,909
09/07/2001;28,8452;1,73;20,126
10/07/2001;28,69749;1,71;17,322
11/07/2001;28,46575;1,72;11,436
12/07/2001;28,34173;1,71;20,194
13/07/2001;28,16884;1,71;14,929
14/07/2001;28,01016;1,63;14,182
15/07/2001;27,77289;1,72;8,505
16/07/2001;27,7169;1,72;23,03
17/07/2001;27,47182;1,71;9,935
18/07/2001;27,28683;1,71;15,381
19/07/2001;27,08259;1,72;13,315
20/07/2001;26,80673;1,71;7,564
21/07/2001;26,55751;3,65;12,263
22/07/2001;26,33085;5,25;14,414
23/07/2001;26,20621;5,24;19,276
24/07/2001;25,99758;5,24;13,571
25/07/2001;25,87354;5,25;22,426
26/07/2001;25,75175;5,25;23,359
27/07/2001;25,59661;5,25;19,657
28/07/2001;25,44159;4,41;18,593
29/07/2001;25,41168;3,76;25,208
30/07/2001;25,21785;3,76;11,301
31/07/2001;25,04337;3,23;18,681
01/08/2001;24,85748;3,03;15,173
02/08/2001;24,61437;3,0;11,575
03/08/2001;24,36401;2,99;11,01
04/08/2001;24,11397;2,48;10,748
05/08/2001;23,90839;2,4;13,174
06/08/2001;23,77704;2,4;17,301
07/08/2001;23,58115;2,4;15,946
08/08/2001;23,33087;2,39;10,957
09/08/2001;23,11579;2,39;13,566
10/08/2001;22,89873;2,39;13,289
11/08/2001;22,66863;2,38;12,115
12/08/2001;22,44749;2,37;11,255
13/08/2001;22,23346;2,36;9,941
14/08/2001;21,96428;2,37;8,542
15/08/2001;21,70436;2,37;9,228
16/08/2001;21,46482;2,36;11,684
17/08/2001;21,22566;2,36;11,634
18/08/2001;20,95772;2,35;9,571
19/08/2001;20,72726;2,35;10,894
20/08/2001;20,50849;2,34;10,891
21/08/2001;20,27038;2,34;11,573
22/08/2001;20,04553;2,34;11,846
23/08/2001;20,05106;2,35;29,575
24/08/2001;20,14595;2,35;39,7
25/08/2001;19,95838;2,35;15,07
26/08/2001;19,75855;2,34;13,824
27/08/2001;19,49876;2,33;10,102
28/08/2001;19,30139;2,33;11,677
29/08/2001;19,21408;2,32;23,043
30/08/2001;19,14178;2,32;24,033
31/08/2001;18,9055;2,32;12,001
01/09/2001;18,73872;2,31;19,3
02/09/2001;18,52024;2,31;13,685
03/09/2001;18,30288;2,3;12,908
04/09/2001;18,03046;2,29;9,974
05/09/2001;17,79319;2,29;13,093
06/09/2001;17,49254;2,28;6,784
07/09/2001;17,36981;2,28;20,937
08/09/2001;17,1615;2,28;10,837
09/09/2001;16,97474;2,29;12,521
10/09/2001;16,7492;2,29;9,038
11/09/2001;16,46994;2,28;9,104
12/09/2001;16,21648;2,29;7,073
13/09/2001;15,97075;2,29;9,876
14/09/2001;15,72179;2,28;10,614
15/09/2001;15,97022;2,28;51,481
16/09/2001;16,39574;1,85;65,924
17/09/2001;16,36441;1,75;27,729
18/09/2001;16,41129;1,75;33,759
19/09/2001;16,25442;1,75;17,531
20/09/2001;15,97329;1,75;6,666
21/09/2001;15,7439;1,75;10,35
22/09/2001;15,52845;1,75;12,843
23/09/2001;15,33993;1,75;10,687
24/09/2001;15,16737;1,74;12,516
25/09/2001;14,92019;1,74;9,834
26/09/2001;14,88497;1,74;26,795
27/09/2001;14,78901;1,74;21,447
28/09/2001;14,66247;1,74;18,077
29/09/2001;14,39552;1,8;7,268
30/09/2001;14,30185;1,74;20,656
01/10/2001;14,14373;1,74;14,957
02/10/2001;15,01692;1,75;107,685
03/10/2001;15,98357;0,88;117,289
04/10/2001;16,37181;0,72;66,942
05/10/2001;16,49133;0,82;43,72
06/10/2001;16,38738;1,06;22,832
07/10/2001;16,21382;1,06;15,16
08/10/2001;16,08303;1,06;16,848
09/10/2001;16,25189;0,95;44,0
10/10/2001;16,21448;0,72;26,564
11/10/2001;16,13519;0,72;23,839
12/10/2001;16,30833;0,82;44,694
13/10/2001;16,32992;0,72;30,104
14/10/2001;16,34695;0,82;29,969
15/10/2001;16,2778;1,06;21,831
16/10/2001;16,03155;1,45;11,183
17/10/2001;15,8786;1,59;19,709
18/10/2001;15,92301;1,35;36,389
19/10/2001;15,8252;1,06;23,519
20/10/2001;16,1734;1,42;63,064
21/10/2001;16,36093;1,2;47,933
22/10/2001;16,80649;1,31;70,424
23/10/2001;17,1638;0,77;62,875
24/10/2001;17,26572;0,85;39,323
25/10/2001;17,32487;1,08;36,09
26/10/2001;17,18235;1,07;19,733
27/10/2001;16,95515;1,67;13,038
28/10/2001;16,77475;1,99;16,514
29/10/2001;16,61498;1,99;17,283
30/10/2001;16,43267;1,99;18,409
31/10/2001;16,25835;2,26;19,57
